Max Fitness:   97.65
Min Fitness:   82.5
Avg Fitness:   91.8535
[03] - 0000011111001001011101101111100100100110 - [accuracy: 93.55, numBits: 21, time: 271.143]
[04] - 0001010010010001110010001101001100001111 - [accuracy: 93.55, numBits: 20, time: 253.126]
[05] - 0101101101000101100011001010011000110111 - [accuracy: 93.55, numBits: 20, time: 258.142]
[06] - 0000011110010000111000001010001111101000 - [accuracy: 93.55, numBits: 21, time: 269.465]
[07] - 0011011111001001011101101111100100100110 - [accuracy: 93.6, numBits: 22, time: 304.414]
[08] - 1010001111101110001011100000100111010001 - [accuracy: 93.65, numBits: 21, time: 249.872]
[09] - 0001011000001100101010101111001010111010 - [accuracy: 93.65, numBits: 19, time: 243.113]
[10] - 0001011000001100101000001010011001111110 - [accuracy: 93.65, numBits: 19, time: 232.32]
[11] - 0101011101101111000000001011101111000000 - [accuracy: 93.65, numBits: 19, time: 237.43]
[12] - 0111111111100111010110001010100111010001 - [accuracy: 93.65, numBits: 24, time: 248.554]
[13] - 1010010110001001100001100001111110111101 - [accuracy: 93.65, numBits: 18, time: 211.696]
[14] - 1011011100000101001010010000001111101111 - [accuracy: 93.7, numBits: 20, time: 259.58]
[15] - 1010100011111110001011110100110001011100 - [accuracy: 93.7, numBits: 22, time: 274.203]
[16] - 0100000010001010010001110010111000001011 - [accuracy: 93.7, numBits: 14, time: 138.682]
[17] - 1000101010101100000100011101000100101110 - [accuracy: 93.7, numBits: 17, time: 209.286]
[18] - 0111010001101010011111110011110100010011 - [accuracy: 93.7, numBits: 23, time: 298.172]
[19] - 0111000101111010001000000101000011101110 - [accuracy: 93.75, numBits: 18, time: 223.62]
[20] - 0101101110010001111110100111010011111010 - [accuracy: 93.8, numBits: 17, time: 225.168]
[21] - 1111011001100110010011010111101010010101 - [accuracy: 93.85, numBits: 23, time: 311.347]
[22] - 1011101110110001001111011001101100000011 - [accuracy: 93.9, numBits: 22, time: 301.9]
[23] - 1011011010010000111000001010011001111110 - [accuracy: 93.95, numBits: 20, time: 254.77]
[24] - 0101011101101111000101111000000101101101 - [accuracy: 93.95, numBits: 22, time: 375.86]
[25] - 1000101000011111001001110100110101011100 - [accuracy: 94, numBits: 20, time: 250.376]
[26] - 1111101110001111010000100100010110100100 - [accuracy: 94, numBits: 20, time: 252.995]
[27] - 1011010110100000010111010100010101100110 - [accuracy: 94, numBits: 19, time: 245.315]
[28] - 1011101110100111111101001001001010100000 - [accuracy: 94, numBits: 19, time: 234.02]
[29] - 0001010011101101010001110000111001101010 - [accuracy: 94.05, numBits: 21, time: 269.387]
[30] - 0101000010100110110111000110011100101000 - [accuracy: 94.05, numBits: 18, time: 213.552]
[31] - 1110001101111101110110101000111100111011 - [accuracy: 94.2, numBits: 26, time: 359.578]
[32] - 1011100101011110100010110001110011111001 - [accuracy: 94.2, numBits: 23, time: 311.501]
[33] - 1101001000010100110101111000000001001110 - [accuracy: 94.3, numBits: 17, time: 205.944]
[34] - 0111111111100111010110001000001101010101 - [accuracy: 94.3, numBits: 23, time: 277.82]
[35] - 0110100000001100101000001010011001111110 - [accuracy: 94.3, numBits: 19, time: 246.335]
[36] - 1010101101110011100011001010011000110111 - [accuracy: 94.35, numBits: 23, time: 280.288]
[37] - 1101101101000101100001101011011000111110 - [accuracy: 94.35, numBits: 22, time: 313.022]
[38] - 1101001000010110111010110101000001001000 - [accuracy: 94.35, numBits: 17, time: 245.032]
[39] - 0010110001101010101100000101111111101010 - [accuracy: 94.35, numBits: 21, time: 256.381]
[40] - 1010010110001001100001100110111010100011 - [accuracy: 94.4, numBits: 19, time: 217.805]
[41] - 1010000001100111001001011110001111101000 - [accuracy: 94.45, numBits: 19, time: 225.246]
[42] - 0001010010010001110010001101001100001111 - [accuracy: 94.45, numBits: 17, time: 205.158]
[43] - 1011011010010000111010101111001010111010 - [accuracy: 94.45, numBits: 22, time: 300.743]
[44] - 1011101110100111111101001001001000010000 - [accuracy: 94.5, numBits: 20, time: 263.323]
[45] - 1000000101111000101001001101011110010110 - [accuracy: 94.5, numBits: 19, time: 249.428]
[46] - 1101101101000101100011001010011001111110 - [accuracy: 94.55, numBits: 22, time: 301.722]
[47] - 1001101110010001111110100111010011111010 - [accuracy: 94.6, numBits: 24, time: 324.993]
[48] - 1011100111011110100010110001110011111001 - [accuracy: 94.6, numBits: 24, time: 349.171]
[49] - 0100011110000011010110000101010001001110 - [accuracy: 94.65, numBits: 17, time: 200.792]
[50] - 1011100111011110001111011110100011110001 - [accuracy: 94.7, numBits: 25, time: 415.129]
[51] - 1011100111011110100010110001010011010001 - [accuracy: 94.7, numBits: 21, time: 270.132]
[52] - 1010010110001001100001100001111000110111 - [accuracy: 94.7, numBits: 19, time: 217.808]
[53] - 0001001100011111100100111010001110001000 - [accuracy: 94.8, numBits: 21, time: 274.147]
[54] - 0100011010010011010011100000110011010111 - [accuracy: 94.85, numBits: 19, time: 233.621]
[55] - 1010010000110001010011100000110011010111 - [accuracy: 94.85, numBits: 18, time: 175.948]
[56] - 1001100110000010000100001101101111000101 - [accuracy: 94.95, numBits: 21, time: 263.225]
[57] - 1010000001100111001001011111101111000000 - [accuracy: 94.95, numBits: 19, time: 231.516]
[58] - 1111011110101001011111101100011110010011 - [accuracy: 95, numBits: 26, time: 362.333]
[59] - 0110101110110110100111101111100100100110 - [accuracy: 95, numBits: 24, time: 272.118]
[60] - 0110000101101110011111110011110100010010 - [accuracy: 95.05, numBits: 22, time: 301.073]
[61] - 1111011010010000111000001011101111000000 - [accuracy: 95.05, numBits: 23, time: 302.843]
[62] - 1100100110100110011000000010011111100001 - [accuracy: 95.15, numBits: 18, time: 218.083]
[63] - 1011101110100111111101001001001010100001 - [accuracy: 95.2, numBits: 22, time: 301.242]
[64] - 1011101110100111111101001001001010100000 - [accuracy: 95.25, numBits: 21, time: 272.648]
[65] - 1011101110100111111101001001001010100000 - [accuracy: 95.25, numBits: 21, time: 272.444]
[66] - 0000011111111100111000000101000001001110 - [accuracy: 95.3, numBits: 18, time: 234.696]
[67] - 1011110010111101000000011000000001001110 - [accuracy: 95.3, numBits: 17, time: 197.974]
[68] - 1011100000100011000011010010001101100010 - [accuracy: 95.35, numBits: 16, time: 193.697]
[69] - 1001100110000010000100001101101111000101 - [accuracy: 95.4, numBits: 25, time: 342]
[70] - 0011011111001101011101110011110100010010 - [accuracy: 95.45, numBits: 23, time: 333.157]
[71] - 0101111101101111000101111000000001001110 - [accuracy: 95.7, numBits: 21, time: 270.463]
[72] - 0100011010011101010010010010011000110110 - [accuracy: 95.7, numBits: 18, time: 230.258]
[73] - 1000001001000011010101100110111010100010 - [accuracy: 95.75, numBits: 17, time: 166.567]
[74] - 0110100010010100110000101110000101100111 - [accuracy: 95.85, numBits: 18, time: 229.763]
[75] - 0011011100111111010010000001001100100110 - [accuracy: 96.05, numBits: 19, time: 234.631]
[76] - 0101111110100111001111001111101000101010 - [accuracy: 96.05, numBits: 24, time: 418.547]
[77] - 1000111001111110010001111001110001111110 - [accuracy: 96.15, numBits: 24, time: 415.481]
[78] - 1110100011111101011010010010011000110111 - [accuracy: 96.15, numBits: 23, time: 285.204]
[79] - 1101001000010110111010110101110000110111 - [accuracy: 96.2, numBits: 22, time: 296.063]
[80] - 1000111001111110010001111001101001100010 - [accuracy: 96.25, numBits: 21, time: 323.136]
[81] - 0111111111100111010110001011011100100110 - [accuracy: 96.4, numBits: 25, time: 319.335]
[82] - 0110000001000001001111011000111011011110 - [accuracy: 96.4, numBits: 19, time: 243.337]
[83] - 0100011010011101011010010010011000110111 - [accuracy: 96.45, numBits: 19, time: 210.742]
[84] - 0101011101101111000101111000000001001110 - [accuracy: 96.45, numBits: 20, time: 342.479]
[85] - 0101010010010100011111110100011101001011 - [accuracy: 96.5, numBits: 21, time: 270.529]
[86] - 0100010011010110111111110011110001111010 - [accuracy: 96.55, numBits: 24, time: 321.66]
[87] - 0101011101101111000101111011111010111011 - [accuracy: 96.6, numBits: 27, time: 369.797]
[88] - 0110101110110110100111111001101100001010 - [accuracy: 96.65, numBits: 23, time: 298.684]
[89] - 0111111111100111010110001000100111010001 - [accuracy: 96.65, numBits: 30, time: 460.884]
[90] - 0001011010010110111010110101110001111110 - [accuracy: 96.7, numBits: 23, time: 345.787]
[91] - 1101001000010110111010110101110001111110 - [accuracy: 96.75, numBits: 23, time: 306.263]
[92] - 1100100110100110011000000000001101111010 - [accuracy: 96.85, numBits: 17, time: 205.314]
